matchid,player,championid,ss1,ss2,role,position,win,kills,deaths,assists,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills
51833,6,57,4,3,DUO_SUPPORT,BOT,0,1,7,11,47756,41755,6000,0,18771,8647,9995,129,42,3,3,0
51889,7,57,14,4,DUO_SUPPORT,BOT,1,3,3,12,43445,37864,5265,315,15190,4718,10418,54,21,0,0,0
51895,3,57,14,4,DUO_SUPPORT,BOT,1,1,1,4,20717,16670,3924,122,6766,1372,5118,275,11,0,0,0
51914,3,57,14,4,DUO_SUPPORT,BOT,1,0,4,19,39947,25660,7227,7059,23515,4197,17309,2007,37,5,5,0
51932,2,57,4,3,DUO_SUPPORT,BOT,0,2,5,8,58220,54515,3705,0,18332,4456,11955,1920,18,2,2,0
51934,2,57,3,4,DUO_SUPPORT,BOT,0,6,10,18,94052,81787,8148,4117,46050,16325,27710,2015,69,2,0,2
51968,10,57,3,4,DUO_SUPPORT,BOT,1,5,11,14,83357,72961,7935,2461,42673,24377,17509,786,17,2,1,1
51994,7,57,4,3,DUO_SUPPORT,BOT,0,5,4,5,47459,44528,2852,78,14898,5755,7700,1442,26,1,1,0
52096,2,57,4,3,DUO_SUPPORT,BOT,0,3,17,19,46717,39895,5066,1754,41147,20274,18447,2424,14,2,1,1
52100,3,57,14,4,DUO_SUPPORT,BOT,0,2,10,10,54037,40277,8586,5172,24916,6430,17208,1277,73,0,0,0
52147,4,57,3,4,DUO_SUPPORT,BOT,1,3,2,15,41669,27653,8955,5060,18319,3592,13439,1287,45,0,0,0
52172,4,57,4,3,DUO_SUPPORT,BOT,1,2,0,4,27402,17793,4690,4918,5843,2376,3467,0,28,0,0,0
52214,10,57,4,14,DUO_SUPPORT,BOT,0,1,8,5,29506,25478,3500,528,13837,6036,7232,568,18,1,0,1
52293,5,57,4,3,DUO_SUPPORT,BOT,0,3,6,4,27403,21328,3706,2369,21609,4386,16806,416,30,0,0,0
52311,10,57,4,3,DUO_SUPPORT,BOT,0,2,5,3,93955,62460,20253,11242,29244,10739,17780,723,95,0,0,0
52477,1,57,4,14,DUO_SUPPORT,BOT,1,2,7,7,39022,34893,3521,607,17991,7056,9977,958,18,1,0,1
52481,8,57,14,4,DUO_SUPPORT,BOT,0,4,5,10,35823,26726,5432,3663,23396,11058,10651,1685,31,0,0,0
52510,10,57,3,4,DUO_SUPPORT,BOT,0,0,3,0,27390,19133,4799,3457,10934,2528,8122,283,34,0,0,0
52513,7,57,4,14,DUO_SUPPORT,BOT,1,5,2,11,45942,37930,7035,976,17017,6878,9333,804,24,6,6,0
52534,5,57,3,4,DUO_SUPPORT,BOT,1,1,7,10,72148,62413,9554,179,27012,11686,15295,30,57,2,1,1
52616,3,57,4,3,DUO_SUPPORT,BOT,0,3,15,31,147837,138020,6546,3269,51684,16344,29521,5819,83,0,0,0
52622,6,57,3,4,DUO_SUPPORT,BOT,1,4,5,7,67075,65486,1589,0,20080,5745,13926,408,50,1,0,1
52765,9,57,4,14,DUO_SUPPORT,BOT,1,1,3,7,27158,14682,7374,5101,17171,5218,11431,521,42,0,0,0
52774,8,57,14,4,DUO_SUPPORT,BOT,0,3,10,6,31421,28791,2150,479,22955,8951,13711,292,17,1,1,0
52775,7,57,4,14,DUO_SUPPORT,BOT,0,0,6,4,28167,25061,2758,347,13502,6201,6359,941,21,0,0,0
52809,2,57,4,3,DUO_SUPPORT,BOT,0,1,7,20,30773,16473,5388,8912,31773,14186,15847,1739,42,0,0,0
52812,10,57,4,14,DUO_SUPPORT,BOT,0,2,5,4,34284,30776,2946,562,13270,5114,8099,56,13,2,0,2
52847,8,57,14,4,DUO_SUPPORT,BOT,1,3,6,17,41122,34374,5196,1552,20859,9746,10502,610,34,4,0,4
52859,8,57,4,14,DUO_SUPPORT,BOT,0,1,5,7,60711,54047,5169,1493,27598,12458,14758,381,59,3,2,1
52946,3,57,14,4,DUO_SUPPORT,BOT,1,4,5,14,51032,44702,5670,660,19377,2395,16016,965,36,0,0,0
53314,7,57,4,3,DUO_SUPPORT,BOT,1,1,4,19,38172,33643,4521,7,14497,4844,9527,126,15,0,0,0
53321,5,57,4,3,DUO_SUPPORT,BOT,0,3,9,11,53172,50243,2875,54,23680,11949,11552,178,14,0,0,0
53339,3,57,4,3,DUO_SUPPORT,BOT,1,0,6,9,21513,20554,959,0,11877,4848,6746,282,10,0,0,0
53366,8,57,4,3,DUO_SUPPORT,BOT,0,4,11,18,107051,97035,10016,0,62440,30391,30251,1798,73,0,0,0
53384,10,57,3,4,DUO_SUPPORT,BOT,1,11,6,17,47552,44562,2990,0,18529,8912,8858,758,12,2,0,2
